weight,party_rand_cat,democrat_therm_1,republican_therm_1,general_trust,institutional_corruption,institutional_response,vote_importance,pride,fair_treatment,maga,norm_judges,norm_judges_perception,norm_polling,norm_polling_perception,norm_executive,norm_executive_perception,norm_censorship,norm_censorship_perception,norm_loyalty,norm_loyalty_perception,violence1,violence2,violence3,violence4,violence5,violence6,violence3_perception,violence6_perception,policy_graduated_taxes,policy_energy_ind,policy_health_insur,policy_free_trade,policy_gun_rights,matchup2024,birthyr,gender,race,hispanic,speakspanish,educ,marstat,employ,faminc_new,child18,pid3,pid7,presvote16post,presvote20post,inputstate,urbanicity2,votereg,ideo5,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,starttime,endtime,engaged,year,week,survey,uid_public
0.7610467556,,80.0,0.0,Yes,Likely to accept,Unlikely,Very important,Moderately proud,Agree,,Strongly disagree,90,Disagree,100,Strongly agree,0,Neither agree nor disagree,100,Strongly disagree,90,Oppose,,,,,,80,60.0,1. Tax richer people at a higher rate,,,,,,1955,Male,White,No,I can not speak Spanish,Some college,Never married,Part-time,"$30,000 - $39,999",No,Democrat,Strong Democrat,Hillary Clinton,Joe Biden,Arizona,Big city,Yes,Very liberal,Most of the time,Protestant,Never,No,Very important,Several times a day,2023-02-17 21:28:35,2023-02-18 22:03:35,1,2023,8,23,18045363
0.5533256793,,80.0,7.0,Yes,Likely to refuse,Equally likely to or unlikely,Very important,Only a little proud,Agree,,Disagree,77,Neither agree nor disagree,80,Strongly agree,95,Strongly agree,98,Strongly disagree,78,Oppose,,,,,,42,37.0,1. Tax richer people at a higher rate,1. Decrease U.S. production of natural gas and coal,,3.,2.,,1945,Male,White,No,I can not speak Spanish,Post-grad,Married,Retired,Prefer not to say,No,Independent,Lean Democrat,Hillary Clinton,Joe Biden,Washington,Suburban area,Yes,Moderate,Most of the time,Something else,Seldom,No,Somewhat important,Several times a day,2023-02-17 20:48:39,2023-02-17 21:25:06,1,2023,8,23,18200595
0.8339598129,Independent assigned Democrat,8.0,7.0,Yes,Extremely likely to accept,Extremely unlikely,Important,Very proud,Disagree,,Strongly disagree,0,Strongly disagree,0,Neither agree nor disagree,25,Agree,23,Strongly disagree,0,Oppose,,,,,,50,0.0,4. Middle of the road; see the pros and cons of both sides,7. Increase U.S. production of natural gas and coal,,,4. Middle of the road; see the pros and cons of both sides,,1974,Female,White,No,I can not speak Spanish,Some college,Married,Full-time,"$20,000 - $29,999",No,Independent,Independent,Did not vote for President,Did not vote for President,New Mexico,Small town,Yes,Very liberal,Only now and then,Something else,A few times a year,No,Very important,Several times a day,2023-02-17 23:55:10,2023-02-18 02:09:14,1,2023,8,23,18501168
0.5636090795,,70.0,70.0,No,Equally likely to refuse or accept,Unlikely,Very important,Extremely proud,Agree,Never Trumper,Strongly disagree,1,Strongly disagree,1,Disagree,1,Strongly disagree,1,Strongly disagree,1,Oppose,,,,,,50,5.0,,4. Middle of the road; see the pros and cons of both sides,,4. Middle of the road; see the pros and cons of both sides,,,1968,Male,Hispanic,Yes,I can not speak Spanish,4-year,Never married,Retired,"$70,000 - $79,999",Yes,Independent,Lean Republican,Hillary Clinton,Joe Biden,North Carolina,Smaller city,Yes,Moderate,Most of the time,Protestant,Seldom,No,Very important,A few times a month,2023-02-22 17:51:57,2023-02-22 18:21:49,1,2023,8,23,18767154
0.7296223287,,100.0,29.0,No,Extremely likely to accept,Unlikely,Very important,Extremely proud,Agree,,Disagree,80,Strongly disagree,70,Neither agree nor disagree,80,Disagree,43,Strongly disagree,21,Oppose,,,,,,80,41.0,,4. Middle of the road; see the pros and cons of both sides,1. Implement government health insurance for everyone,,,,1949,Male,White,No,I can not speak Spanish,High school graduate,Married,Retired,"$100,000 - $119,999",No,Democrat,Not very strong Democrat,Hillary Clinton,Joe Biden,Louisiana,Rural area,Yes,Liberal,Most of the time,Protestant,More than once a week,Yes,Very important,Several times a day,2023-02-18 15:41:58,2023-02-18 16:00:45,1,2023,8,23,18793119
0.6337244222,,90.0,15.0,No,Equally likely to refuse or accept,Unlikely,Very important,Only a little proud,Disagree,,Agree,70,Strongly disagree,85,Agree,70,Disagree,65,Disagree,50,Neither support nor oppose,,,,,,25,40.0,2.,,1. Implement government health insurance for everyone,4. Middle of the road; see the pros and cons of both sides,,,1952,Male,White,No,I can not speak Spanish,4-year,Domestic / civil partnership,Retired,"$30,000 - $39,999",No,Other,Lean Democrat,Hillary Clinton,Joe Biden,Oregon,Smaller city,Yes,Liberal,Most of the time,Something else,Never,No,Not at all important,Seldom,2023-02-17 21:41:29,2023-02-17 22:20:20,1,2023,8,23,18822288
0.9010573649,,19.0,36.0,No,Likely to accept,Unlikely,Important,Moderately proud,Agree,Neither,Strongly disagree,47,Disagree,38,Disagree,87,Strongly disagree,73,Disagree,76,Neither support nor oppose,,,,,,73,27.0,1. Tax richer people at a higher rate,6.,,,,,1969,Male,White,No,I can not speak Spanish,Post-grad,Never married,Part-time,"$20,000 - $29,999",No,Independent,Lean Republican,Gary Johnson,Donald Trump,Tennessee,Big city,Yes,Conservative,Some of the time,Protestant,Once a week,No,Somewhat important,A few times a week,2023-02-17 21:34:50,2023-02-17 21:52:58,0,2023,8,23,19521489
1.3728700007,,43.0,85.0,Yes,Likely to refuse,Unlikely,Very important,Extremely proud,Agree,Neither,Strongly disagree,67,Disagree,86,Disagree,59,Agree,67,Disagree,66,Strongly oppose,,,,,,39,9.0,,,,5.,,,1939,Male,White,No,,Post-grad,Married,Retired,"$500,000 or more",No,Republican,Strong Republican,Donald Trump,Donald Trump,Florida,Suburban area,Yes,Conservative,Most of the time,Roman Catholic,A few times a year,No,Somewhat important,A few times a week,2023-02-17 20:30:06,2023-02-17 20:53:11,1,2023,8,23,19556166
0.4051716150,,10.0,50.0,No,Likely to refuse,Equally likely to or unlikely,Very important,Extremely proud,Disagree,Neither,Strongly disagree,20,Neither agree nor disagree,50,Strongly disagree,80,Strongly disagree,66,Disagree,66,Neither support nor oppose,,,,,,20,5.0,4. Middle of the road; see the pros and cons of both sides,7. Increase U.S. production of natural gas and coal,,,4. Middle of the road; see the pros and cons of both sides,,1947,Female,White,No,I can not speak Spanish,4-year,Divorced,Retired,Prefer not to say,No,Independent,Lean Republican,Other,Other,California,Smaller city,Yes,Conservative,Most of the time,Mormon,Once a week,No,Very important,Once a day,2023-02-17 17:12:59,2023-02-17 17:38:14,1,2023,8,23,19613217
1.0889847764,,31.0,63.0,Yes,Likely to refuse,Unlikely,Very important,Very proud,Neither agree nor disagree,Neither,Strongly disagree,68,Strongly disagree,60,Disagree,87,Strongly disagree,79,Disagree,52,Support,Oppose,,,,,37,12.0,,,5.,,,,1949,Female,White,No,I can not speak Spanish,4-year,Widowed,Retired,"$120,000 - $149,999",No,Republican,Not very strong Republican,Donald Trump,Donald Trump,Texas,Suburban area,Yes,Moderate,Some of the time,Nothing in particular,Seldom,No,Somewhat important,A few times a week,2023-02-17 21:35:51,2023-02-17 21:52:48,1,2023,8,23,19680690
